"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"GPS_IDC-Header_2x05_P2.54mm_Horizontal";1;"ublox_chinese_PCB_module";;;
2;"U11";"XBEE-22MM-TH";1;"XBee3";;;
3;"U9,U3";"SOT-23-6_Handsoldering";2;"HMC544A-RF_Switch";;;
4;"U1";"ST_Nucleo_144_Large_Daughter";1;"NUCLEO144-F746ZG";;;
5;"TP14,TP7,TP1,TP2,TP6,TP13,TP12,TP11,TP10,TP8,TP5,TP4,TP3,TP9";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";14;"TestPoint";;;
6;"C21,C16,C17";"CP_Radial_D5.0mm_P2.50mm";3;"100uF";;;
7;"U5";"MSOP-8_3x3mm_P0.65mm";1;"AD8310";;;
8;"J3,J2";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Male";;;
9;"R1";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"53R";;;
10;"R4,R5";"R_2010_5025Metric_Pad1.52x2.65mm_HandSolder";2;"100R";;;
11;"C20";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"470pF";;;
12;"U12";"SOT-23-5";1;"MIC5219-3.3YM5";;;
13;"LS1";"MagneticBuzzer_Kingstate_KCG0601";1;"Speaker";;;
14;"C19,C12,C14,C1";"CP_Radial_D5.0mm_P2.50mm";4;"1uF";;;
15;"RN4,RN1";"R_Array_Convex_4x1206";2;"4K7";;;
16;"D8,D1,D2,D5,D6,D4,D3";"LED_PLCC-2";7;"LED";;;
17;"D7";"D_SMA_Handsoldering";1;"SMAJ8.0CA Bourns 9V";;;
18;"C18,C13,C4";"CP_Radial_D5.0mm_P2.50mm";3;"10uF";;;
19;"C15";"C_Disc_D7.5mm_W2.5mm_P5.00mm";1;"100nF";;;
20;"RN2,RN3";"R_Array_Convex_4x1206";2;"470R";;;
21;"U10";"LGA-8_3x5mm_P1.25mm";1;"MPL315A2";;;
22;"C8";"C_Disc_D7.5mm_W2.5mm_P5.00mm";1;"25pF";;;
23;"C11,C10,C9,C7,C6,C5";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";6;"47n";;;
24;"U8";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HC04";;;
25;"U7";"TSSOP-16_4.4x5mm_P0.65mm";1;"ADG729";;;
26;"U6";"MSOP-10_3x3mm_P0.5mm";1;"MCP6S93-X_UN";;;
27;"U4";"SOIC-14_3.9x8.7mm_P1.27mm";1;"Opamp_Quad_MCP6024";;;
28;"C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"240pF";;;
29;"J1";"SMA_Amphenol_132134-11_Vertical";1;"Conn_Coaxial";;;
30;"FB2,FB1";"L_0805_2012Metric";2;"Ferrite_Bead";;;
31;"C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"560pF";;;
32;"L1";"L_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"620nH";;;
33;"L2";"L_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"1.5uH";;;
34;"CN2";"IDC-Pins_2x15_P2.54mm_Vertical";1;"Conn_01x30_Male";;;
35;"CN3";"IDC-Pins_2x10_P2.54mm_Vertical";1;"Conn_01x20_Male";;;
36;"CN4";"IDC-Pins_2x17_P2.54mm_Vertical";1;"Conn_01x34_Male";;;
37;"CN1";"IDC-Pins_2x8_P2.54mm_Vertical";1;"Conn_01x16_Male";;;
